12-11-2020 11:37:23.962 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_LINK_GATE_REQ_14eb2459ae05f004f] subscribe topic [DISPLAY_LINK_GATE_REQ_4eb2459ae05f004f] SUCCESS!
12-11-2020 11:37:23.985 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_CONNECT_TO_SENSOR_14eb2459ae05f004f] subscribe topic [RES_CONNECT_TO_SENSOR_4eb2459ae05f004f] SUCCESS!
12-11-2020 11:37:24.005 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_DISCONNECT_TO_SENSOR_14eb2459ae05f004f] subscribe topic [RES_DISCONNECT_TO_SENSOR_4eb2459ae05f004f] SUCCESS!
12-11-2020 11:37:24.040 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_SPO2_14eb2459ae05f004f] subscribe topic [RES_TRANSMIT_DATA_SPO2_4eb2459ae05f004f] SUCCESS!
12-11-2020 11:37:24.071 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_TEMP_14eb2459ae05f004f] subscribe topic [RES_TRANSMIT_DATA_TEMP_4eb2459ae05f004f] SUCCESS!
12-11-2020 11:37:24.110 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_NIBP_14eb2459ae05f004f] subscribe topic [RES_TRANSMIT_DATA_NIBP_4eb2459ae05f004f] SUCCESS!
12-11-2020 11:37:24.144 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_REQ_GATE_SENSOR_1ELC-DL-001-00000000649au198] subscribe topic [DISPLAY_REQ_GATE_SENSOR_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.177 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_UNLINK_GATE_REQ_1ELC-DL-001-00000000649au198] subscribe topic [DISPLAY_UNLINK_GATE_REQ_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.205 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [GET_PATIENT_LIST_1ELC-DL-001-00000000649au198] subscribe topic [GET_PATIENT_LIST_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.229 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_LINK_GATE_REQ_1ELC-DL-001-00000000649au198] subscribe topic [DISPLAY_LINK_GATE_REQ_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.249 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_CONNECT_TO_SENSOR_1ELC-DL-001-00000000649au198] subscribe topic [RES_CONNECT_TO_SENSOR_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.287 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_DISCONNECT_TO_SENSOR_1ELC-DL-001-00000000649au198] subscribe topic [RES_DISCONNECT_TO_SENSOR_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.305 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_SPO2_1ELC-DL-001-00000000649au198] subscribe topic [RES_TRANSMIT_DATA_SPO2_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.326 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_TEMP_1ELC-DL-001-00000000649au198] subscribe topic [RES_TRANSMIT_DATA_TEMP_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.347 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_NIBP_1ELC-DL-001-00000000649au198] subscribe topic [RES_TRANSMIT_DATA_NIBP_ELC-DL-001-00000000649au198] SUCCESS!
12-11-2020 11:37:24.365 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_REQ_GATE_SENSOR_125f97b784dc3780a] subscribe topic [DISPLAY_REQ_GATE_SENSOR_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.395 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_UNLINK_GATE_REQ_125f97b784dc3780a] subscribe topic [DISPLAY_UNLINK_GATE_REQ_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.416 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [GET_PATIENT_LIST_125f97b784dc3780a] subscribe topic [GET_PATIENT_LIST_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.444 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [DISPLAY_LINK_GATE_REQ_125f97b784dc3780a] subscribe topic [DISPLAY_LINK_GATE_REQ_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.463 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_CONNECT_TO_SENSOR_125f97b784dc3780a] subscribe topic [RES_CONNECT_TO_SENSOR_25f97b784dc3780a] SUCCESS!
